timestamp,grid_import_mw,gpu_power_mw,it_load_mw,cooling_power_mw,bess_power_mw,bess_soc_percent,shiftable_load_mw
2026-09-25T00:00:00Z,42,24,31,7,0,82,3
2026-09-25T00:15:00Z,43,25,32,7,0,82,3
2026-09-25T00:30:00Z,44,26,33,7,0,82,3
2026-09-25T00:45:00Z,45,27,34,7,0,81,3
2026-09-25T01:00:00Z,46,28,35,7,0,81,3
2026-09-25T01:15:00Z,47,29,36,7,0,81,3
2026-09-25T01:30:00Z,48,30,37,7,0,80,3
2026-09-25T01:45:00Z,49,31,38,7,0,80,3
2026-09-25T02:00:00Z,50,32,39,7,0,80,3
2026-09-25T02:15:00Z,51,33,40,7,-1,78,3
2026-09-25T02:30:00Z,52,34,41,7,-2,76,3
2026-09-25T02:45:00Z,51,33,40,7,-1,74,3
2026-09-25T03:00:00Z,49,31,38,7,0,74,3
2026-09-25T03:15:00Z,48,30,37,7,0,74,3
2026-09-25T03:30:00Z,47,29,36,7,0,74,3
2026-09-25T03:45:00Z,46,28,35,7,0,74,3
2026-09-25T04:00:00Z,45,27,34,7,0,74,3
2026-09-25T04:15:00Z,44,26,33,7,0,74,3
2026-09-25T04:30:00Z,43,25,32,7,0,74,3
2026-09-25T04:45:00Z,42,24,31,7,0,74,3
2026-09-25T05:00:00Z,43,25,32,7,0,74,3
2026-09-25T05:15:00Z,44,26,33,7,0,74,3
2026-09-25T05:30:00Z,45,27,34,7,0,74,3
2026-09-25T05:45:00Z,46,28,35,7,0,74,3
